Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2022,Jypsière 28,Etoupe,11389,19266,21147
2023,Jypsière 28,Etoupe,11834,15999,19501
2024,Jypsière 28,Etoupe,11410,25728,20738
2025,Jypsière 28,Etoupe,12252,24428,23829
2015,Jypsière 28,Etain,8947,14668,17127
2016,Jypsière 28,Etain,9198,14541,18068
2017,Jypsière 28,Etain,9476,16459,13469
2018,Jypsière 28,Etain,9719,17243,13675
2019,Jypsière 28,Etain,9620,14140,15678
2020,Jypsière 28,Etain,9735,20941,17121
2021,Jypsière 28,Etain,10424,21093,19659
2022,Jypsière 28,Etain,10862,21778,19415
2023,Jypsière 28,Etain,11057,22374,21993
2024,Jypsière 28,Etain,11470,26906,19772
2025,Jypsière 28,Etain,10485,19687,19144
2015,Jypsière 28,Craie,8012,12285,12900
2016,Jypsière 28,Craie,8249,11494,14339
2017,Jypsière 28,Craie,8372,19255,13459
2018,Jypsière 28,Craie,8737,20495,15104
2019,Jypsière 28,Craie,9105,18436,14445
2020,Jypsière 28,Craie,9010,13716,17260
2021,Jypsière 28,Craie,9315,13879,13717
2022,Jypsière 28,Craie,10075,18973,14382
2023,Jypsière 28,Craie,9695,16844,17090
2024,Jypsière 28,Craie,10185,17068,15362
2025,Jypsière 28,Craie,10144,21957,17850
2015,Jypsière 28,Nata,9622,20864,15160
2016,Jypsière 28,Nata,9892,16619,13990
2017,Jypsière 28,Nata,10080,15628,18923
2018,Jypsière 28,Nata,10121,17177,15658
2019,Jypsière 28,Nata,10301,19772,14600
2020,Jypsière 28,Nata,10744,24337,19590
2021,Jypsière 28,Nata,10598,15740,11744
2022,Jypsière 28,Nata,10798,19163,14576
2023,Jypsière 28,Nata,11870,24156,16902
2024,Jypsière 28,Nata,11159,24547,13898
2025,Jypsière 28,Nata,11943,24454,18805
2015,Jypsière 28,Rose Sakura,9483,16789,11053
2016,Jypsière 28,Rose Sakura,9722,16276,13102
2017,Jypsière 28,Rose Sakura,9930,14271,15146
2018,Jypsière 28,Rose Sakura,9943,23965,12265
2019,Jypsière 28,Rose Sakura,10626,21754,15969
2020,Jypsière 28,Rose Sakura,10284,21847,11767
2021,Jypsière 28,Rose Sakura,10686,16894,20721
2022,Jypsière 28,Rose Sakura,11084,17882,13601
2023,Jypsière 28,Rose Sakura,11313,17517,18042
2024,Jypsière 28,Rose Sakura,11780,23154,16192
2025,Jypsière 28,Rose Sakura,12394,24626,20337
2015,Jypsière 28,Bleu Brume,10861,16726,13168
2016,Jypsière 28,Bleu Brume,11034,20977,15196
2017,Jypsière 28,Bleu Brume,11161,16209,20960
2018,Jypsière 28,Bleu Brume,11494,15194,12953
2019,Jypsière 28,Bleu Brume,11620,26832,16200
2020,Jypsière 28,Bleu Brume,11752,15784,14655
2021,Jypsière 28,Bleu Brume,11994,19355,19893
2022,Jypsière 28,Bleu Brume,12773,28992,14593
2023,Jypsière 28,Bleu Brume,13194,32722,24911
2024,Jypsière 28,Bleu Brume,12278,26057,18312
2025,Jypsière 28,Bleu Brume,12848,29030,23174
2015,Jypsière 28,Vert Criquet,11928,23508,15962
2016,Jypsière 28,Vert Criquet,12174,28818,20896
2017,Jypsière 28,Vert Criquet,12301,30065,19190
2018,Jypsière 28,Vert Criquet,12696,20290,24658
2019,Jypsière 28,Vert Criquet,12979,20777,15252
2020,Jypsière 28,Vert Criquet,12991,31232,15021
2021,Jypsière 28,Vert Criquet,12857,21453,14155
2022,Jypsière 28,Vert Criquet,13549,18036,19703
2023,Jypsière 28,Vert Criquet,13656,20067,18229
2024,Jypsière 28,Vert Criquet,13876,19957,20723
2025,Jypsière 28,Vert Criquet,13734,31411,21389
2015,Jige Clutch,Gold,8930,15399,10041
2016,Jige Clutch,Gold,9175,15008,10606
2017,Jige Clutch,Gold,9235,17135,16821
2018,Jige Clutch,Gold,9556,19581,16470
2019,Jige Clutch,Gold,9922,13752,14096
2020,Jige Clutch,Gold,9769,20398,18315
2021,Jige Clutch,Gold,10658,16790,18544
2022,Jige Clutch,Gold,10874,14306,21252
2023,Jige Clutch,Gold,10728,16396,20537
2024,Jige Clutch,Gold,10889,23594,14320
2025,Jige Clutch,Gold,11344,24274,21832
2015,Jige Clutch,Noir,10439,17711,17708
2016,Jige Clutch,Noir,10719,23405,18533
2017,Jige Clutch,Noir,10797,16148,15772
2018,Jige Clutch,Noir,10945,25593,21824
2019,Jige Clutch,Noir,11514,26075,22405
2020,Jige Clutch,Noir,11925,27623,13518
2021,Jige Clutch,Noir,12112,26937,16254
2022,Jige Clutch,Noir,11695,15277,15629
2023,Jige Clutch,Noir,12572,24426,18855
2024,Jige Clutch,Noir,12898,32072,21286
2025,Jige Clutch,Noir,12021,17263,19224
2015,Jige Clutch,Etoupe,9911,14018,11209
2016,Jige Clutch,Etoupe,10177,13993,16010
2017,Jige Clutch,Etoupe,10214,15440,15836
2018,Jige Clutch,Etoupe,10485,22840,12376
2019,Jige Clutch,Etoupe,11012,20351,14005
2020,Jige Clutch,Etoupe,10739,21385,19985
2021,Jige Clutch,Etoupe,10869,14261,16076
2022,Jige Clutch,Etoupe,11117,16612,13859
2023,Jige Clutch,Etoupe,11888,21189,22908
2024,Jige Clutch,Etoupe,12405,26743,23303
2025,Jige Clutch,Etoupe,12051,24846,17674
2015,Jige Clutch,Etain,7301,16068,12352
2016,Jige Clutch,Etain,7597,16195,11816
2017,Jige Clutch,Etain,7760,10221,14584
2018,Jige Clutch,Etain,7906,11251,13259
2019,Jige Clutch,Etain,8304,15197,15797
2020,Jige Clutch,Etain,8749,20839,15156
2021,Jige Clutch,Etain,8317,12991,13886
2022,Jige Clutch,Etain,9113,13584,17719
2023,Jige Clutch,Etain,9034,16282,16903
2024,Jige Clutch,Etain,9424,17195,12014
2025,Jige Clutch,Etain,9389,19892,14602
2015,Jige Clutch,Craie,10452,22266,14132
2016,Jige Clutch,Craie,10666,21731,14153
2017,Jige Clutch,Craie,10890,14776,11997
2018,Jige Clutch,Craie,11247,16654,14065
2019,Jige Clutch,Craie,11175,24219,19886
2020,Jige Clutch,Craie,11689,23271,15638
2021,Jige Clutch,Craie,11777,21657,22508
2022,Jige Clutch,Craie,11939,26832,14508
2023,Jige Clutch,Craie,12704,23134,19699
2024,Jige Clutch,Craie,12365,27185,16504
2025,Jige Clutch,Craie,13240,26900,15909
2015,Jige Clutch,Nata,8045,13930,15634
2016,Jige Clutch,Nata,8265,15936,15066
2017,Jige Clutch,Nata,8346,19724,11231
2018,Jige Clutch,Nata,8825,15141,14911
2019,Jige Clutch,Nata,8734,20368,15455
2020,Jige Clutch,Nata,9527,23790,11247
2021,Jige Clutch,Nata,9819,15477,15629
2022,Jige Clutch,Nata,9767,22209,18893
2023,Jige Clutch,Nata,9445,14973,12117
2024,Jige Clutch,Nata,9709,20138,19319
2025,Jige Clutch,Nata,10642,16230,16708
2015,Jige Clutch,Rose Sakura,7545,13265,14246
2016,Jige Clutch,Rose Sakura,7713,16938,13881
2017,Jige Clutch,Rose Sakura,8142,15653,15465
2018,Jige Clutch,Rose Sakura,8301,15135,12782
2019,Jige Clutch,Rose Sakura,8354,19876,12920
2020,Jige Clutch,Rose Sakura,8372,12127,11729
2021,Jige Clutch,Rose Sakura,9235,21537,12948
2022,Jige Clutch,Rose Sakura,9034,20797,13022
2023,Jige Clutch,Rose Sakura,9855,15530,12671
2024,Jige Clutch,Rose Sakura,9349,17060,17590
2025,Jige Clutch,Rose Sakura,9795,12886,15088
2015,Jige Clutch,Bleu Brume,8161,12803,14969
2016,Jige Clutch,Bleu Brume,8382,12049,9669
2017,Jige Clutch,Bleu Brume,8554,19014,13585
2018,Jige Clutch,Bleu Brume,8911,20192,17007
2019,Jige Clutch,Bleu Brume,9153,15309,10270
2020,Jige Clutch,Bleu Brume,9406,16434,13321
2021,Jige Clutch,Bleu Brume,9073,17353,16440
2022,Jige Clutch,Bleu Brume,9695,19726,18153
2023,Jige Clutch,Bleu Brume,9379,14814,15291
2024,Jige Clutch,Bleu Brume,10395,16702,15056
2025,Jige Clutch,Bleu Brume,11122,20801,17051
2015,Jige Clutch,Vert Criquet,9881,24017,13735
2016,Jige Clutch,Vert Criquet,10037,15017,19881
2017,Jige Clutch,Vert Criquet,10288,20959,16691
2018,Jige Clutch,Vert Criquet,10575,22972,21100
2019,Jige Clutch,Vert Criquet,11077,19983,19182
2020,Jige Clutch,Vert Criquet,11092,15584,14897
2021,Jige Clutch,Vert Criquet,10979,16034,12978
2022,Jige Clutch,Vert Criquet,11878,18838,21660
2023,Jige Clutch,Vert Criquet,11926,26393,22046
2024,Jige Clutch,Vert Criquet,11818,25156,17276
2025,Jige Clutch,Vert Criquet,11898,27487,13360
2015,Geta Bag,Gold,11663,20971,16067
2016,Geta Bag,Gold,11855,26044,18574
2017,Geta Bag,Gold,12182,23464,20235
2018,Geta Bag,Gold,12208,24788,17487
2019,Geta Bag,Gold,12683,30619,15098
2020,Geta Bag,Gold,12434,27712,17364
2021,Geta Bag,Gold,13293,17410,16391
2022,Geta Bag,Gold,12905,26364,16408
2023,Geta Bag,Gold,13461,26786,20584
2024,Geta Bag,Gold,14262,23479,17855
2025,Geta Bag,Gold,14218,27876,18174
2015,Geta Bag,Noir,9873,16564,12132
2016,Geta Bag,Noir,10056,21980,15324
2017,Geta Bag,Noir,10292,16141,18569
2018,Geta Bag,Noir,10430,14632,16474
2019,Geta Bag,Noir,10834,21216,13443
2020,Geta Bag,Noir,10830,16244,19084
2021,Geta Bag,Noir,11578,24053,15191
2022,Geta Bag,Noir,10955,24392,16770
2023,Geta Bag,Noir,11525,15497,20843
2024,Geta Bag,Noir,12492,23167,15228
2025,Geta Bag,Noir,12526,21159,23108
2015,Geta Bag,Etoupe,10549,14408,14729
2016,Geta Bag,Etoupe,10815,21993,20051
2017,Geta Bag,Etoupe,11064,20418,15094
2018,Geta Bag,Etoupe,11140,20584,18230
2019,Geta Bag,Etoupe,11746,16384,20814
2020,Geta Bag,Etoupe,11832,17504,20098
2021,Geta Bag,Etoupe,11838,25163,14048
2022,Geta Bag,Etoupe,11713,26069,17041
2023,Geta Bag,Etoupe,11980,18185,13659
2024,Geta Bag,Etoupe,13131,21823,16227
2025,Geta Bag,Etoupe,13125,18292,24615
2015,Geta Bag,Etain,8827,15126,15276
2016,Geta Bag,Etain,9098,19530,13410
2017,Geta Bag,Etain,9173,14420,13378
2018,Geta Bag,Etain,9520,17308,13227
2019,Geta Bag,Etain,9837,16092,13311
2020,Geta Bag,Etain,9623,18785,17470
2021,Geta Bag,Etain,9813,22737,13474
2022,Geta Bag,Etain,9878,14702,11218
2023,Geta Bag,Etain,10991,23331,19143
2024,Geta Bag,Etain,11457,22109,14741
2025,Geta Bag,Etain,10590,16612,12266
2015,Geta Bag,Craie,8377,12380,14452
2016,Geta Bag,Craie,8569,11286,12515
2017,Geta Bag,Craie,8833,14078,10021
2018,Geta Bag,Craie,9180,12537,11085
2019,Geta Bag,Craie,9261,17357,15425
2020,Geta Bag,Craie,9817,19017,15229
2021,Geta Bag,Craie,10150,21512,19327
2022,Geta Bag,Craie,9608,18301,10869
2023,Geta Bag,Craie,10469,17812,16165
2024,Geta Bag,Craie,10191,19962,16917
2025,Geta Bag,Craie,10307,20507,16101
2015,Geta Bag,Nata,11859,19533,21454
2016,Geta Bag,Nata,12063,29182,14363
2017,Geta Bag,Nata,12263,21645,15618
2018,Geta Bag,Nata,12452,17447,19805
2019,Geta Bag,Nata,13037,21701,18219
2020,Geta Bag,Nata,12692,24568,15104
2021,Geta Bag,Nata,13643,19992,24703
2022,Geta Bag,Nata,12991,24709,25279
2023,Geta Bag,Nata,14021,32191,20924
2024,Geta Bag,Nata,13512,23011,16331
2025,Geta Bag,Nata,14820,35059,20165
2015,Geta Bag,Rose Sakura,11660,27595,16200
2016,Geta Bag,Rose Sakura,11954,29247,15074
2017,Geta Bag,Rose Sakura,12050,20169,14006
2018,Geta Bag,Rose Sakura,12139,28136,16842
2019,Geta Bag,Rose Sakura,12818,28906,23339
2020,Geta Bag,Rose Sakura,12570,17138,18399
2021,Geta Bag,Rose Sakura,12971,23890,24625
2022,Geta Bag,Rose Sakura,13638,25209,20958
2023,Geta Bag,Rose Sakura,13252,27211,25643
2024,Geta Bag,Rose Sakura,14012,19904,26708
2025,Geta Bag,Rose Sakura,13588,22183,15263
2015,Geta Bag,Bleu Brume,9785,24036,11895
2016,Geta Bag,Bleu Brume,9954,16024,14794
2017,Geta Bag,Bleu Brume,10260,17365,17104
2018,Geta Bag,Bleu Brume,10541,18060,19253
2019,Geta Bag,Bleu Brume,10707,18113,18831
2020,Geta Bag,Bleu Brume,10904,24249,16781
2021,Geta Bag,Bleu Brume,10897,24290,18993
2022,Geta Bag,Bleu Brume,11557,19919,17987
2023,Geta Bag,Bleu Brume,11507,27380,15175
2024,Geta Bag,Bleu Brume,11579,22814,18447
2025,Geta Bag,Bleu Brume,11605,25609,19121
2015,Geta Bag,Vert Criquet,9342,18763,14992
2016,Geta Bag,Vert Criquet,9612,17666,14111
2017,Geta Bag,Vert Criquet,9692,21475,16696
2018,Geta Bag,Vert Criquet,9796,22639,14846
2019,Geta Bag,Vert Criquet,10458,23302,20230
2020,Geta Bag,Vert Criquet,10119,16699,20160
2021,Geta Bag,Vert Criquet,10412,18965,14953
2022,Geta Bag,Vert Criquet,10807,17790,20907
2023,Geta Bag,Vert Criquet,11055,15766,13250
2024,Geta Bag,Vert Criquet,11387,20720,22058
2025,Geta Bag,Vert Criquet,11565,25806,16978
